Modo;Threads;Tiempo (segundos)
BLOQUES RECTANGULARES;1;0.25
BLOQUES RECTANGULARES;2;0.133
BLOQUES RECTANGULARES;4;0.111
BLOQUES RECTANGULARES;8;0.076
BLOQUES RECTANGULARES;16;0.0679998
BLOQUES RECTANGULARES;1;0.234
BLOQUES RECTANGULARES;2;0.135
BLOQUES RECTANGULARES;4;0.0910001
BLOQUES RECTANGULARES;8;0.0800002
BLOQUES RECTANGULARES;16;0.062
BLOQUES RECTANGULARES;1;0.239
BLOQUES RECTANGULARES;2;0.137
BLOQUES RECTANGULARES;4;0.108
BLOQUES RECTANGULARES;8;0.0770001
BLOQUES RECTANGULARES;16;0.0639999
