Modo;Procesos MPI;Hilos OpenMP;Tiempo (segundos)
FILAS;1;1;61,225900
FILAS;1;2;36,628900
FILAS;1;4;27,230000
FILAS;1;8;19,053000
FILAS;1;16;18,514900
FILAS;2;1;33,633800
FILAS;2;2;26,291900
FILAS;2;4;19,141300
FILAS;2;8;17,557700
FILAS;2;16;17,287200
FILAS;4;1;18,598700
FILAS;4;2;15,607200
FILAS;4;4;16,092400
FILAS;4;8;16,099700
FILAS;4;16;14,732300
FILAS;8;1;8,657980
FILAS;8;2;8,656130
FILAS;8;4;14,491300
FILAS;8;8;13,855100
FILAS;8;16;13,110600
FILAS;16;1;5,982100
FILAS;16;2;7,776300
FILAS;16;4;7,130890
FILAS;16;8;6,997610
FILAS;16;16;11,107500
COLUMNAS;1;1;68,008600
COLUMNAS;1;2;49,582000
COLUMNAS;1;4;40,523900
COLUMNAS;1;8;29,673400
COLUMNAS;1;16;23,950200
COLUMNAS;2;1;37,060000
COLUMNAS;2;2;28,387000
COLUMNAS;2;4;22,699100
COLUMNAS;2;8;18,134100
COLUMNAS;2;16;16,343000
COLUMNAS;4;1;17,932300
COLUMNAS;4;2;13,029000
COLUMNAS;4;4;15,573400
COLUMNAS;4;8;14,512000
COLUMNAS;4;16;15,271200
COLUMNAS;8;1;8,668420
COLUMNAS;8;2;9,683610
COLUMNAS;8;4;10,871000
COLUMNAS;8;8;10,554800
COLUMNAS;8;16;14,568700
COLUMNAS;16;1;5,837590
COLUMNAS;16;2;6,693430
COLUMNAS;16;4;6,693590
COLUMNAS;16;8;5,587180
COLUMNAS;16;16;8,968440
BLOQUES;1;1;63,316600
BLOQUES;1;2;37,276300
BLOQUES;1;4;28,522900
BLOQUES;1;8;20,422800
BLOQUES;1;16;18,531400
BLOQUES;2;1;32,206000
BLOQUES;2;2;24,203500
BLOQUES;2;4;19,523100
BLOQUES;2;8;17,972200
BLOQUES;2;16;17,761500
BLOQUES;4;1;18,731900
BLOQUES;4;2;15,369500
BLOQUES;4;4;15,983400
BLOQUES;4;8;16,180600
BLOQUES;4;16;16,920300
BLOQUES;8;1;9,083540
BLOQUES;8;2;11,471700
BLOQUES;8;4;10,796000
BLOQUES;8;8;14,795600
BLOQUES;8;16;15,506600
BLOQUES;16;1;3,074720
BLOQUES;16;2;7,646830
BLOQUES;16;4;7,341570
BLOQUES;16;8;7,843660
BLOQUES;16;16;12,888900
